ROUGE-Type,Task Name,System Name,Avg_Recall,Avg_Precision,Avg_F-Score,Num Reference Summaries
ROUGE-L+StopWordRemoval,ARTICLE14,SYSTEM1.TXT,0.28571,0.08000,0.12500,1

ROUGE-1+StopWordRemoval,ARTICLE14,SYSTEM1.TXT,0.25000,0.06349,0.10127,1

ROUGE-2+StopWordRemoval,ARTICLE14,SYSTEM1.TXT,0.00000,0.00000,0.00000,1

ROUGE-SU4+StopWordRemoval,ARTICLE14,SYSTEM1.TXT,0.09091,0.01702,0.02867,1

ROUGE-L+StopWordRemoval,ARTICLE6,SYSTEM1.TXT,0.36667,0.17460,0.23656,1

ROUGE-1+StopWordRemoval,ARTICLE6,SYSTEM1.TXT,0.34211,0.15663,0.21488,1

ROUGE-2+StopWordRemoval,ARTICLE6,SYSTEM1.TXT,0.03704,0.01370,0.02000,1

ROUGE-SU4+StopWordRemoval,ARTICLE6,SYSTEM1.TXT,0.15625,0.04762,0.07299,1

ROUGE-L+StopWordRemoval,ARTICLE13,SYSTEM1.TXT,0.19231,0.20833,0.20000,1

ROUGE-1+StopWordRemoval,ARTICLE13,SYSTEM1.TXT,0.13889,0.15152,0.14493,1

ROUGE-2+StopWordRemoval,ARTICLE13,SYSTEM1.TXT,0.00000,0.00000,0.00000,1

ROUGE-SU4+StopWordRemoval,ARTICLE13,SYSTEM1.TXT,0.04580,0.04762,0.04669,1

ROUGE-L+StopWordRemoval,ARTICLE7,SYSTEM1.TXT,0.25714,0.16981,0.20455,1

ROUGE-1+StopWordRemoval,ARTICLE7,SYSTEM1.TXT,0.32075,0.22667,0.26562,1

ROUGE-2+StopWordRemoval,ARTICLE7,SYSTEM1.TXT,0.02500,0.01538,0.01905,1

ROUGE-SU4+StopWordRemoval,ARTICLE7,SYSTEM1.TXT,0.15337,0.09058,0.11390,1

ROUGE-L+StopWordRemoval,ARTICLE16,SYSTEM1.TXT,0.11905,0.11628,0.11765,1

